green,yellow,red,excluded
129,1,7,52
128,1,8,52
128,1,8,52
126,1,10,52
123,1,13,52
122,1,14,52
122,1,14,52
121,1,15,52
119,1,17,52
118,1,18,52
115,1,21,52
113,1,23,52
105,1,31,52
99,1,37,52
97,2,38,52
93,2,42,52
87,2,48,52
81,3,53,52
76,3,58,52
72,3,62,52
69,2,66,52
63,2,72,52
57,2,78,52
58,2,77,52
55,2,80,52
53,2,82,52
49,2,86,52
48,2,87,52
46,2,89,52
41,3,93,52
41,2,94,52
41,2,94,52
39,2,96,52
41,2,94,52
41,2,94,52
41,2,94,52
39,2,96,52
39,3,95,52
37,2,98,52
36,2,99,52
36,3,98,52
38,3,96,52
39,5,93,52
39,6,92,52
41,7,89,52
42,8,87,52
41,9,87,52
41,10,86,52
44,10,83,52
45,7,85,52
43,6,88,52
44,7,86,52
42,10,85,52
42,8,87,52
45,7,85,52
46,8,83,52
47,9,81,52
49,9,79,52
52,8,77,52
52,9,76,52
55,7,75,52
54,6,77,52
56,6,75,52
55,8,74,52
54,8,75,52
54,8,75,52
54,9,74,52
55,9,73,52
57,8,72,52
57,9,71,52
56,9,72,52
53,11,73,52
51,13,73,52
51,15,71,52
52,15,70,52
52,16,69,52
54,15,68,52
53,16,68,52
54,15,68,52
53,17,67,52
52,16,69,52
54,13,70,52
54,13,70,52
54,13,70,52
54,16,67,52
53,17,67,52
54,17,66,52
53,18,66,52
52,17,68,52
53,17,67,52
53,16,68,52
54,15,68,52
54,15,68,52
53,16,68,52
53,16,68,52
52,16,69,52
52,17,68,52
52,19,66,52
52,19,66,52
52,17,68,52
49,15,73,52
52,13,72,52
53,14,70,52
53,12,72,52
52,12,73,52
52,15,70,52
50,18,69,52
51,17,69,52
51,17,69,52
51,17,69,52
54,16,67,52
54,16,67,52
54,16,67,52
53,17,67,52
52,18,67,52
53,17,67,52
50,19,68,52
49,18,70,52
50,16,71,52
50,17,70,52
50,18,69,52
50,17,70,52
51,14,72,52
51,14,72,52
51,13,73,52
51,14,72,52
50,16,71,52
51,16,70,52
50,15,72,52
48,17,72,52
48,17,72,52
47,16,74,52
47,15,75,52
48,14,75,52
47,16,74,52
48,16,73,52
48,17,72,52
48,14,75,52
48,16,73,52
48,16,73,52
49,16,72,52
49,15,73,52
47,16,74,52
47,15,75,52
46,17,74,52
45,19,73,52
45,19,73,52
45,19,73,52
45,19,73,52
45,18,74,52
45,19,73,52
43,18,76,52
42,19,76,52
42,18,77,52
41,20,76,52
43,23,71,52
42,23,72,52
42,24,71,52
40,23,74,52
40,23,74,52
39,21,77,52
37,22,78,52
38,20,79,52
37,21,79,52
35,29,73,52
33,26,78,52
34,24,79,52
32,26,79,52
33,23,81,52
31,25,81,52
32,22,83,52
32,21,84,52
32,21,84,52
32,18,87,52
34,19,84,52
34,19,84,52
32,19,86,52
32,19,86,52
33,20,84,52
32,20,85,52
35,18,84,52
36,17,84,52
35,20,82,52
36,19,82,52
35,18,84,52
36,19,82,52
34,21,82,52
33,22,82,52
32,22,83,52
31,22,84,52
31,21,85,52
31,23,83,52
31,22,84,52
31,21,85,52
30,21,86,52
31,21,85,52
31,19,87,52
31,18,88,52
